Název školy,Identifikační znak organizace,Resortní identifikátor právnické osoby,Zřizovatel,Typ třídy,Obor,Název oboru,Forma vzdělávání,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Název okresu bydliště studenta,Kód okresu bydliště studenta dle číselníku ČSÚ,Název obce bydliště studenta,Kód obce bydliště studenta dle číselníku ČSÚ,Počty studentů s trvalým bydlištěm v dané obci dojíždějící do vyšší odborné školy,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
"Biskupské gymnázium, církevní základní škola, mateřská škola a základní umělecká| škola Hradec Králové",45978298,691000794,církev,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,345,POINT(50.206304 15.833695),15.833695,50.206304,SPSS253,45,1762598.86477601,6482081.01441809
"Gymnázium Boženy Němcové, Hradec Králové, Pospíšilova tř. 324",62690043,600011666,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,343,POINT(50.212273 15.838943),15.838943,50.212273,SPSS856,563,1763183.06946369,6483119.26671379
"Gymnázium J. K. Tyla, Hradec Králové, Tylovo nábř. 682",62690060,600011674,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,302,POINT(50.208692 15.82545),15.82545,50.208692,SPSS1018,725,1761681.03557442,6482496.36932817
"Gymnázium, Trutnov, Jiráskovo náměstí 325",60153237,600012875,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,163,POINT(50.565483 15.916574),15.916574,50.565483,SPSS1453,1117,1771824.91285347,6544789.64441048
"Gymnázium, Trutnov, Jiráskovo náměstí 325",60153237,600012875,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,142,POINT(50.565483 15.916574),15.916574,50.565483,SPSS1422,1086,1771824.91285347,6544789.64441048
Krkonošské gymnázium a Střední odborná škola,60153245,600012891,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Vrchlabí,579858,132,POINT(50.618824 15.614026),15.614026,50.618824,SPSS1747,1301,1738145.42355294,6554143.06909367
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Úpice,579777,128,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2095,1561,1783503.99723004,6534892.07388323
První soukromé jazykové gymnázium Hradec Králové spol. s r.o.,11583771,600011615,privátní sektor,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,123,POINT(50.217928 15.855364),15.855364,50.217928,SPSS2693,2154,1765011.04682201,6484103.02143297
"Gymnázium a Střední odborná škola pedagogická, |Nová Paka, Kumburská 740",401170,600012026,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Nová Paka,573248,115,POINT(50.495548 15.510644),15.510644,50.495548,SPSS835,542,1726636.99195575,6532542.46394508
"Lepařovo gymnázium, Jičín, Jiráskova 30",87131,600011992,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Jičín,572659,108,POINT(50.439114 15.351905),15.351905,50.439114,SPSS1874,1371,1708966.24730672,6522672.8226721
